species,decimalLatitude,decimalLongitude,eventDate,scientificName,phylum,class,order,family,genus
Rhabdonella amor,9.9765,74.9968,2003-09-21,Rhabdonella amor,Ciliophora,Oligotrichea,Choreotrichida,Rhabdonellidae,Rhabdonella
Fromia indica,10.0,93.0,1869-07-02T12:00:00Z,Fromia indica,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Fromia
Melanella acuformis,10.0,93.0,,Melanella acuformis,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Melanella
Antennarius hispidus,19.966667,72.71667,1801,Antennarius hispidus,Chordata,Teleostei,Lophiiformes,Antennariidae,Antennarius
Cymodoce longistylis,13.0830001831,80.3000030518,,Cymodoce longistylis,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Cymodoce
Desmaulus extinctorium,8.75,78.2,1964-01,Desmaulus extinctorium,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Desmaulus
Caranx heberi,8.233155,79.768313,,Caranx heberi,Chordata,Teleostei,Carangiformes,Carangidae,Caranx
Xenentodon cancila,19.766666,85.333336,1822,Xenentodon cancila,Chordata,Teleostei,Beloniformes,Belonidae,Xenentodon
Lumbrineris latreilli,8.99,75.99,2009-06-03,Lumbrineris latreilli,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris
Platorchestia platensis,10.33333333,79.53333333,2011,Platorchestia platensis,Arthropoda,Malacostraca,Amphipoda,Talitridae,Platorchestia
Naria erosa,11.1166667938,92.8166656494,,Naria erosa,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Naria
Paracalanus parvus,20.45,88.85,1971-11-23T14:25:12Z,Paracalanus parvus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Bullia vittata,11.483334,79.76667,1767,Bullia vittata,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Bullia
Terapon theraps,21.647223,87.63333,1829,Terapon theraps,Chordata,Teleostei,Centrarchiformes,Terapontidae,Terapon
Halymenia porphyroides,22.4666671753,69.0833358765,,Halymenia porphyroides,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Halymenia
Ricinella rubusidaeus,8.269,73.05,2000/2002,Ricinella rubusidaeus,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ricinella
Pullenia bulloides,9.0292,72.8778,1972-03-10,Pullenia bulloides,Foraminifera,Globothalamea,Rotaliida,Pulleniidae,Pullenia
Triacanthus biaculeatus,8.6626,78.3192,2007/2008,Triacanthus biaculeatus,Chordata,Teleostei,Tetraodontiformes,Triacanthidae,Triacanthus
Cloeosiphon aspergillus,10.0,93.0,1865,Cloeosiphon aspergillus,Annelida,,Sipuncula,Aspidosiphonidae,Cloeosiphon
Calloporina sigillata,8.9532,78.8867,2002/2011,Calloporina sigillata,Bryozoa,Gymnolaemata,Cheilostomatida,Microporellidae,Calloporina
Metaplax crenulata,21.5,88.166664,1856,Metaplax crenulata,Arthropoda,Malacostraca,Decapoda,Varunidae,Metaplax
Glycera unicornis,20.3166999817,86.75,1833-07-02T12:00:00Z,Glycera unicornis,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera
Salinisphaera shabanensis,17.4855,68.0247,2010-03-22,Salinisphaera shabanensis,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera
Cynoglossus arel,18.986038,72.812443,,Cynoglossus arel,Chordata,Teleostei,Pleuronectiformes,Cynoglossidae,Cynoglossus
Balistoides conspicillum,8.25,79.6666641235,1801-07-02T12:00:00Z,Balistoides conspicillum,Chordata,Teleostei,Tetraodontiformes,Balistidae,Balistoides
Cantharus spiralis,15.48,73.79,2005-05-12/2008-11-28,Cantharus spiralis,Mollusca,Gastropoda,Neogastropoda,Pisaniidae,Cantharus
Phaeocystis globosa,21.7933133,89.2810876,2023-01-09,Phaeocystis globosa,Haptophyta,Coccolithophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis
Philocheras plebs,10.609,93.14,2012,Philocheras plebs,Arthropoda,Malacostraca,Decapoda,Crangonidae,Philocheras
Tethya robusta,10.08333333,72.28333333,1960,Tethya robusta,Porifera,Demospongiae,Tethyida,Tethyidae,Tethya
Nuchequula blochii,21.827841,89.1954232,2023-01-08,Nuchequula blochii,Chordata,Teleostei,Acanthuriformes,Leiognathidae,Nuchequula
Netuma thalassina,17.70751,83.313849,1940-12-25,Netuma thalassina,Chordata,Teleostei,Siluriformes,Ariidae,Netuma
Mitrella scripta,22.6000003815,69.5,1822-07-02T12:00:00Z,Mitrella scripta,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella
Esomus danrica,28.9167,80.1233,1996-02-26,Esomus danrica,Chordata,Teleostei,Cypriniformes,Cyprinidae,Esomus
Dadayiella ganymedes,9.9765,74.9968,2003-09-21,Dadayiella ganymedes,Ciliophora,Oligotrichea,Choreotrichida,Tintinnidae,Dadayiella
Plesionika ensis,10.0,95.0,1881-07-02T12:00:00Z,Plesionika ensis,Arthropoda,Malacostraca,Decapoda,Pandalidae,Plesionika
Agelas ceylonica,9.24,79.2305,2017/2020,Agelas ceylonica,Porifera,Demospongiae,Agelasida,Agelasidae,Agelas
Pseudoconchoecia concentrica,20.0,69.75,,Pseudoconchoecia concentrica,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Pseudoconchoecia
Conus tessulatus,8.56000041962,81.2200012207,1957-07-02T12:00:00Z,Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus
Paracalanus aculeatus,15.415,73.7282,1975/1976,Paracalanus aculeatus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Rhizosolenia hebetata,16.2551,69.9113,2009-02-16/2009-02-23,Rhizosolenia hebetata,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia
Lucicutia flavicornis,9.1667,75.7833,1967-06-21T13:45:00Z,Lucicutia flavicornis,Arthropoda,Copepoda,Calanoida,Lucicutiidae,Lucicutia
Carangoides malabaricus,12.533334,92.816666,1801,Carangoides malabaricus,Chordata,Teleostei,Carangiformes,Carangidae,Carangoides
Arothron stellatus,15.0,90.0,1801-07-02T12:00:00Z,Arothron stellatus,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Arothron
Euchirella bella,10.251,93.2641,1999/2002,Euchirella bella,Arthropoda,Copepoda,Calanoida,Aetideidae,Euchirella
Macrophthalmus (Mareotis) pacificus,22.6000003815,69.5,,Macrophthalmus (Mareotis) pacificus,Arthropoda,Malacostraca,Decapoda,Macrophthalmidae,Macrophthalmus
Lates calcarifer,19.7666664124,85.3333358765,1790-07-02T12:00:00Z,Lates calcarifer,Chordata,Teleostei,Carangaria incertae sedis,Latidae,Lates
Chelonibia caretta,13.092499733,80.2944412231,1790-07-02T12:00:00Z,Chelonibia caretta,Arthropoda,Thecostraca,Balanomorpha,Chelonibiidae,Chelonibia
Globigerinoides conglobatus,9.0292,72.8778,1972-03-10,Globigerinoides conglobatus,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Globigerinoides
Valonia aegagropila,8.9532,78.8867,2002/2011,Valonia aegagropila,Chlorophyta,Ulvophyceae,Cladophorales,Valoniaceae,Valonia
Ferosagitta robusta,13.6700000763,71.1500015259,,Ferosagitta robusta,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Ferosagitta
Pseudo-nitzschia seriata,8.366666667,76.93333333,2001/2003,Pseudo-nitzschia seriata,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia
Thalassoma lunare,16.4806,72.0986,2019-12-24/2019-12-27,Thalassoma lunare,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Thalassoma
Thunnus albacares,20.083933333333,68.067066666667,,Thunnus albacares,Chordata,Teleostei,Scombriformes,Scombridae,Thunnus
Gavelinopsis praegeri,9.0292,72.8778,1972-03-10,Gavelinopsis praegeri,Foraminifera,Globothalamea,Rotaliida,Rosalinidae,Gavelinopsis
Pleurosigma aestuarii,8.931944444,76.56027778,2006/2008,Pleurosigma aestuarii,Heterokontophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Pleurosigma
Planiliza subviridis,21.7933049,89.2808746,2023-01-09,Planiliza subviridis,Chordata,Teleostei,Mugiliformes,Mugilidae,Planiliza
Hydatina zonata,15.5,73.727,2005-05-12/2008-11-28,Hydatina zonata,Mollusca,Gastropoda,,Aplustridae,Hydatina
Littoraria pintado,11.744944,79.820667,,Littoraria pintado,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littoraria
Canthocalanus pauper,18.3667,71.45,1976-10-13T14:00:00Z,Canthocalanus pauper,Arthropoda,Copepoda,Calanoida,Calanidae,Canthocalanus
Zonosagitta bedoti,19.5300006866,92.8700027466,,Zonosagitta bedoti,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Zonosagitta
Paracalanus denudatus,19.7667,69.6667,1976-10-10T12:00:00Z,Paracalanus denudatus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Stylocidaris albidens,10.0,93.0,1925,Stylocidaris albidens,Echinodermata,Echinoidea,Cidaroida,Cidaridae,Stylocidaris
Flaccisagitta hexaptera,14.8800001144,88.6699981689,,Flaccisagitta hexaptera,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Flaccisagitta
Polycarpa pigmentata,12.05521667,92.96216667,2013-10-22,Polycarpa pigmentata,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Polycarpa
Osteogeneiosus militaris,19.9666671753,72.7166671753,,Osteogeneiosus militaris,Chordata,Teleostei,Siluriformes,Ariidae,Osteogeneiosus
Neurymenia fraxinifolia,22.6000003815,69.5,1863-07-02T12:00:00Z,Neurymenia fraxinifolia,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neurymenia
Eucampia zodiacus,19.1379,69.5162,2009-03-01/2009-03-13,Eucampia zodiacus,Heterokontophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Eucampia
Pterosagitta draco,14.1700000763,84.3300018311,,Pterosagitta draco,Chaetognatha,Sagittoidea,Aphragmophora,Pterosagittidae,Pterosagitta
Actaea savignii,22.6000003815,69.5,1834-07-02T12:00:00Z,Actaea savignii,Arthropoda,Malacostraca,Decapoda,Xanthidae,Actaea
Lethrinus variegatus,10.0,93.0,1830-07-02T12:00:00Z,Lethrinus variegatus,Chordata,Teleostei,Eupercaria incertae sedis,Lethrinidae,Lethrinus
Neophocaena phocaenoides,21.7547521,89.2838353,2023-01-09,Neophocaena phocaenoides,Chordata,Mammalia,Cetartiodactyla,Phocoenidae,Neophocaena
Siriella gracilis,9.35,93.93,1962/1964,Siriella gracilis,Arthropoda,Malacostraca,Mysida,Mysidae,Siriella
Ferosagitta robusta,20.0,69.25,,Ferosagitta robusta,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Ferosagitta
Janthina janthina,10.94,72.29,1988/1989,Janthina janthina,Mollusca,Gastropoda,Caenogastropoda incertae sedis,Epitoniidae,Janthina
Caranx melampygus,15.0,90.0,1833-07-02T12:00:00Z,Caranx melampygus,Chordata,Teleostei,Carangiformes,Carangidae,Caranx
Murex carbonnieri,33.85,78.53,1964-01-22,Murex carbonnieri,Mollusca,Gastropoda,Neogastropoda,Muricidae,Murex
Cossura coasta,21.0,70.0,1999/2002,Cossura coasta,Annelida,Polychaeta,,Cossuridae,Cossura
Eleutherochir opercularis,10.0,93.0,1837-07-02T12:00:00Z,Eleutherochir opercularis,Chordata,Teleostei,Callionymiformes,Callionymidae,Eleutherochir
Scatophagus argus,11.483,79.8167,1986/1987,Scatophagus argus,Chordata,Teleostei,Acanthuriformes,Scatophagidae,Scatophagus
Clypeaster rarispinus,8.450866667,76.89945,2011-08-30,Clypeaster rarispinus,Echinodermata,Echinoidea,Clypeasteroida,Clypeasteridae,Clypeaster
Pleuromamma abdominalis,15.7667,73.3833,1967-06-26T02:19:48Z,Pleuromamma abdominalis,Arthropoda,Copepoda,Calanoida,Metridinidae,Pleuromamma
Mycale (Mycale) crassissima,8.9532,78.8867,2002/2011,Mycale (Mycale) crassissima,Porifera,Demospongiae,Poecilosclerida,Mycalidae,Mycale
Globorotalia (Truncorotalia) crassaformis,9.0292,72.8778,1972-03-10,Globorotalia (Truncorotalia) crassaformis,Foraminifera,Globothalamea,Rotaliida,Globorotaliidae,Globorotalia
Caulibugula zanzibariensis,17.733334,83.26667,1913,Caulibugula zanzibariensis,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Caulibugula
Sargassum aquifolium,9.285,79.21195,1820,Sargassum aquifolium,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum
Hymenocera picta,14.13,73.49,2012,Hymenocera picta,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Hymenocera
Echinothrix diadema,10.8,73.66666667,1991,Echinothrix diadema,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Echinothrix
Nerita albicilla,10.75,92.5,,Nerita albicilla,Mollusca,Gastropoda,Cycloneritida,Neritidae,Nerita
Euterpina acutifrons,13.5833,73.4333,1973-09-05T03:10:12Z,Euterpina acutifrons,Arthropoda,Copepoda,Harpacticoida,Tachidiidae,Euterpina
Cycloseris distorta,10.6165,93.1527,1981/1983,Cycloseris distorta,Cnidaria,Hexacorallia,Scleractinia,Fungiidae,Cycloseris
Setipinna tenuifilis,21.7039168,89.2609951,2023-01-09,Setipinna tenuifilis,Chordata,Teleostei,Clupeiformes,Engraulidae,Setipinna
Gnathanodon speciosus,8.5670003891,81.2170028687,,Gnathanodon speciosus,Chordata,Teleostei,Carangiformes,Carangidae,Gnathanodon
Harpiosquilla annandalei,10.0,93.0,1911,Harpiosquilla annandalei,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Harpiosquilla
Siganus guttatus,10.0,93.0,1787-07-02T12:00:00Z,Siganus guttatus,Chordata,Teleostei,Acanthuriformes,Siganidae,Siganus
Jania capillacea,11.0,72.5,1853-07-02T12:00:00Z,Jania capillacea,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Jania
Ulva clathrata,11.4499998093,79.7833328247,1830-07-02T12:00:00Z,Ulva clathrata,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva
Eudiocrinus ornatus,11.116667,92.816666,1909,Eudiocrinus ornatus,Echinodermata,Crinoidea,Comatulida,Eudiocrinidae,Eudiocrinus
Dichotomyctere fluviatilis,18.986038,72.812443,,Dichotomyctere fluviatilis,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Dichotomyctere
Navicula maculosa,11.47861111,75.60277778,2006/2008,Navicula maculosa,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Vanikoro rosea,10.0,93.0,1844-07-02T00:00:00Z,Vanikoro rosea,Mollusca,Gastropoda,Littorinimorpha,Vanikoridae,Vanikoro
Tenualosa ilisha,22.787211,88.344523,,Tenualosa ilisha,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Tenualosa
Pleurostomella alternans,9.0292,72.8778,1972-03-10,Pleurostomella alternans,Foraminifera,Nodosariata,Polymorphinida,Pleurostomellidae,Pleurostomella
Atlantilux puella,26.6147,80.0361,1945-04-28,Atlantilux puella,Mollusca,Gastropoda,Neogastropoda,Costellariidae,Atlantilux
Paramyxoproteus chlorophthalmusi,12.916666666667,93.1,,Paramyxoproteus chlorophthalmusi,Cnidaria,Myxozoa,Bivalvulida,Sinuolineidae,Paramyxoproteus
Hippocampus kuda,15.48,73.79,2005-05-12/2008-11-28,Hippocampus kuda,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Hippocampus
Coelorinchus braueri,12.8,93.12,2007,Coelorinchus braueri,Chordata,Teleostei,Gadiformes,Macrouridae,Coelorinchus
Mikroconchoecia curta,12.6000003815,74.1999969482,,Mikroconchoecia curta,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Mikroconchoecia
Raconda russeliana,8.9532,78.8867,2002/2011,Raconda russeliana,Chordata,Teleostei,Clupeiformes,Pristigasteridae,Raconda
Anarchias cantonensis,11.0,72.5,1943,Anarchias cantonensis,Chordata,Teleostei,Anguilliformes,Muraenidae,Anarchias
Haliangium ochraceum,22.7443,69.955,2017-01-01,Haliangium ochraceum,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
Tethya diploderma,10.0,93.0,1870,Tethya diploderma,Porifera,Demospongiae,Tethyida,Tethyidae,Tethya
Scolecitrichopsis ctenopus,20.8333,68.55,1976-10-08T07:00:00Z,Scolecitrichopsis ctenopus,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecitrichopsis
Apocryptes bato,19.95,72.7667,1822,Apocryptes bato,Chordata,Teleostei,Gobiiformes,Gobiidae,Apocryptes
Pterois russelii,13.083,80.3,,Pterois russelii,Chordata,Teleostei,Perciformes,Scorpaenidae,Pterois
Pseudorca crassidens,14.59,71.5,2003/2007,Pseudorca crassidens,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Pseudorca
Paracalanus aculeatus,18.5667,71.8667,1967-06-28T08:30:00Z,Paracalanus aculeatus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Ostorhinchus chrysotaenia,8.576767,81.224234,,Ostorhinchus chrysotaenia,Chordata,Teleostei,Kurtiformes,Apogonidae,Ostorhinchus
Glaucostegus obtusus,11.0,76.0,,Glaucostegus obtusus,Chordata,Elasmobranchii,Rhinopristiformes,Glaucostegidae,Glaucostegus
Carangoides chrysophrys,8.6626,78.3192,2007/2008,Carangoides chrysophrys,Chordata,Teleostei,Carangiformes,Carangidae,Carangoides
Aphareus rutilans,11.0,72.5,1830-07-02T12:00:00Z,Aphareus rutilans,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Aphareus
Pisodonophis boro,19.95,72.7667,1822,Pisodonophis boro,Chordata,Teleostei,Anguilliformes,Ophichthidae,Pisodonophis
Ophiomastix annulosa,11.0,72.5,1816,Ophiomastix annulosa,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Ophiomastix
Nannocalanus minor,18.0667,93.7833,1971-11-16T16:15:00Z,Nannocalanus minor,Arthropoda,Copepoda,Calanoida,Calanidae,Nannocalanus
Conchoecilla daphnoides,9.0,95.0,1962/1964,Conchoecilla daphnoides,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecilla
Lepidochelys olivacea,22.6666660309,90.3666687012,1829-07-02T12:00:00Z,Lepidochelys olivacea,Chordata,,Testudines,Cheloniidae,Lepidochelys
Crossota alba,10.0,93.0,1913-07-02T12:00:00Z,Crossota alba,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Crossota
Globigerinoides conglobatus,9.0292,72.8778,1972-03-10,Globigerinoides conglobatus,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Globigerinoides
Podarkeopsis capensis,9.05,76.46111111,2005-01,Podarkeopsis capensis,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis
Clausocalanus furcatus,18.3667,71.45,1976-10-13T14:00:00Z,Clausocalanus furcatus,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus
Nerita maura,9.25,79.333336,1842,Nerita maura,Mollusca,Gastropoda,Cycloneritida,Neritidae,Nerita
Acrocalanus gracilis,12.6,74.15,1967-06-24T09:25:12Z,Acrocalanus gracilis,Arthropoda,Copepoda,Calanoida,Paracalanidae,Acrocalanus
Orbulina universa,17.383,70.567,1965-02-01,Orbulina universa,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Orbulina
Monetaria annulus,11.0,72.5,1758-07-02T12:00:00Z,Monetaria annulus,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Monetaria
Pericharax heteroraphis,10.0,93.0,,Pericharax heteroraphis,Porifera,Calcarea,Clathrinida,Leucettidae,Pericharax
Prosorhynchus truncatus,15.0,90.0,1936-07-02T00:00:00Z,Prosorhynchus truncatus,Platyhelminthes,Trematoda,Plagiorchiida,Bucephalidae,Prosorhynchus
Paraconchoecia echinata,13.0699996948,83.1699981689,,Paraconchoecia echinata,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Paraconchoecia
Vampyrophrya pelagica,14.5536,70.0128,2010-03-30,Vampyrophrya pelagica,Ciliophora,Oligohymenophorea,Apostomatida,Foettingeriidae,Vampyrophrya
Pastinachus sephen,8.5,79.0,1841-07-02T12:00:00Z,Pastinachus sephen,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Pastinachus
Conus leehmani,10.465673,72.315527,1981-01-01/1981-12-31,Conus leehmani,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus
Ulva intestinalis,14.829,74.124,1985-07-20T12:00:00Z,Ulva intestinalis,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva
Pseudapocryptes elongatus,16.8947219849,96.0911102295,1997-10-31T13:00:00Z,Pseudapocryptes elongatus,Chordata,Teleostei,Gobiiformes,Gobiidae,Pseudapocryptes
Levinsenia gracilis,15.25361111,80.40305556,2008/2011,Levinsenia gracilis,Annelida,Polychaeta,,Paraonidae,Levinsenia
Plectroglyphidodon leucozonus,11.6,72.18,1969/1980,Plectroglyphidodon leucozonus,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Plectroglyphidodon
Cursorius cursor,8.5,79.0,,Cursorius cursor,Chordata,Aves,Charadriiformes,Glareolidae,Cursorius
Esomus danrica,27.675,85.433333,1955-10-19,Esomus danrica,Chordata,Teleostei,Cypriniformes,Cyprinidae,Esomus
Lampriscus shadboltianus,18.01083333,72.81777778,2013,Lampriscus shadboltianus,Heterokontophyta,Bacillariophyceae,Triceratiales,Triceratiaceae,Lampriscus
Eutintinnus apertus,12.6282,74.02766,2018-09-24,Eutintinnus apertus,Ciliophora,Oligotrichea,Choreotrichida,Eutintinnidae,Eutintinnus
Porites palmata,10.91,72.78,1987-01,Porites palmata,Cnidaria,Hexacorallia,Scleractinia,Poritidae,Porites
Scomberoides tol,11.9829998016,79.8330001831,,Scomberoides tol,Chordata,Teleostei,Carangiformes,Carangidae,Scomberoides
Semiodera laevis,13.53,92.62,2011-11-25,Semiodera laevis,Annelida,Polychaeta,Terebellida,Flabelligeridae,Semiodera
Pterosagitta draco,17.6,68.0,1959/1965,Pterosagitta draco,Chaetognatha,Sagittoidea,Aphragmophora,Pterosagittidae,Pterosagitta
Costasiella kuroshimae,16.923,73.2185,2008-11-01/2009-03-30,Costasiella kuroshimae,Mollusca,Gastropoda,,Costasiellidae,Costasiella
Ulva rigida,16.293368130974,84.102718975153,1996,Ulva rigida,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva
Cycloachelous orbitosinus,8.27,73.04,1999/2001,Cycloachelous orbitosinus,Arthropoda,Malacostraca,Decapoda,Portunidae,Cycloachelous
Irus exoticus,9.25,79.2166671753,1818-07-02T12:00:00Z,Irus exoticus,Mollusca,Bivalvia,Venerida,Veneridae,Irus
Ellochelon vaigiensis,18.986038,72.812443,,Ellochelon vaigiensis,Chordata,Teleostei,Mugiliformes,Mugilidae,Ellochelon
Serratosagitta pacifica,16.5,82.5,,Serratosagitta pacifica,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Serratosagitta
Lumbrineris latreilli,14.18527778,74.31444444,1998/2001,Lumbrineris latreilli,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris
Delius nudus,15.0,68.6667,1980-03-23T12:00:00Z,Delius nudus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Delius
Subeucalanus subcrassus,19.8667,71.0167,1969-09-27T12:40:12Z,Subeucalanus subcrassus,Arthropoda,Copepoda,Calanoida,Eucalanidae,Subeucalanus
Caudites javanus,11.7225,75.54166667,2007,Caudites javanus,Arthropoda,Ostracoda,Podocopida,Hemicytheridae,Caudites
Krohnitta pacifica,20.8199996948,89.1999969482,,Krohnitta pacifica,Chaetognatha,Sagittoidea,Aphragmophora,Krohnittidae,Krohnitta
Channa striata,13.39,80.34,2011,Channa striata,Chordata,Teleostei,Anabantiformes,Channidae,Channa
Paraconchoecia oblonga,9.0,76.2699966431,,Paraconchoecia oblonga,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Paraconchoecia
Coilia brachygnathus,21.7566388,89.2229824,2023-01-09,Coilia brachygnathus,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Globoquadrina conglomerata,15.5895,68.5795,1995-10-15,Globoquadrina conglomerata,Foraminifera,Globothalamea,Rotaliida,Catapsydracidae,Globoquadrina
Halocypris inflata,11.48333333,79.76666667,2005/2006,Halocypris inflata,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Halocypris
Sirophysalis trinodis,22.4833335876,69.0999984741,,Sirophysalis trinodis,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sirophysalis
Pleuromamma indica,19.3667,69.1167,1976-10-10T05:00:00Z,Pleuromamma indica,Arthropoda,Copepoda,Calanoida,Metridinidae,Pleuromamma
Rubritalea spongiae,22.6925,69.2494,2017-05-03,Rubritalea spongiae,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Rubritalea
Alepes djedaba,15.52,94.55,,Alepes djedaba,Chordata,Teleostei,Carangiformes,Carangidae,Alepes
Ostorhinchus aureus,8.6626,78.3192,2007/2008,Ostorhinchus aureus,Chordata,Teleostei,Kurtiformes,Apogonidae,Ostorhinchus
Nannocalanus minor,12.7833,74.6667,1967-06-24T03:19:48Z,Nannocalanus minor,Arthropoda,Copepoda,Calanoida,Calanidae,Nannocalanus
Stereocidaris indica,12.5,92.75,1901-07-02T12:00:00Z,Stereocidaris indica,Echinodermata,Echinoidea,Cidaroida,Cidaridae,Stereocidaris
Eviota hoesei,12.28333,93.85,,Eviota hoesei,Chordata,Teleostei,Gobiiformes,Gobiidae,Eviota
Sargassum ilicifolium,15.8666667938,73.6333312988,1820-07-02T00:00:00Z,Sargassum ilicifolium,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum
Macrosetella gracilis,20.5833,90.8667,1971-11-21T10:00:00Z,Macrosetella gracilis,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Macrosetella
Pseudanchialina pusilla,17.2333335876,83.7833328247,1885-07-02T12:00:00Z,Pseudanchialina pusilla,Arthropoda,Malacostraca,Mysida,Mysidae,Pseudanchialina
Scolecithricella marginata,20.9333,89.4,1971-06-26T17:00:00Z,Scolecithricella marginata,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella
Atactodea striata,11.833333,93.05,1791,Atactodea striata,Mollusca,Bivalvia,Venerida,Mesodesmatidae,Atactodea
Zonosagitta pulchra,16.5,86.0,,Zonosagitta pulchra,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Zonosagitta
Labidocera acuta,15.415,73.7282,1975/1976,Labidocera acuta,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera
Lates calcarifer,21.827841,89.1954232,2023-01-08,Lates calcarifer,Chordata,Teleostei,Carangaria incertae sedis,Latidae,Lates
Ulva lactuca,14.84,74.13300323,1985-03-26T12:00:00Z,Ulva lactuca,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva
Megalaspis cordyla,10.0,76.133333,,Megalaspis cordyla,Chordata,Teleostei,Carangiformes,Carangidae,Megalaspis
Labeo calbasu,26.4167004,86.8666992,1996-02-11,Labeo calbasu,Chordata,Teleostei,Cypriniformes,Cyprinidae,Labeo
Trachinotus botla,9.271098,80.814225,,Trachinotus botla,Chordata,Teleostei,Carangiformes,Carangidae,Trachinotus
Orthoconchoecia striola,16.5,85.5299987793,,Orthoconchoecia striola,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Orthoconchoecia
